dm_id,kod_loc,nama_loc
14,981702021,JLN S/G 9/15
14,981702022,JLN S/G 9/16
14,981702023,JLN S/G 9/17
14,981702024,JLN S/G 9/18
14,981702025,JLN S/G 9/19
14,981702026,JLN S/G 9/20
14,981702027,JLN S/G 9/21
14,981702028,JLN S/G 9/22
14,981702029,JLN S/G 9/23
14,981702030,JLN S/G 9/24
14,981702032,JLN S/G 9/26
14,981702033,JLN S/G 9/27
14,981702034,JLN S/G 9/28
14,981702035,JLN S/G 9/29
14,981702036,JLN S/G 9/30
14,981702037,JLN S/G 9/32
14,981702038,JLN S/G 9/33
14,981702041,KRISTAL HEIGHT
14,981702801,PEMILIH TIDAK HADIR
15,981703001,TMN SELASEH / KG GOMBAK JAYA
15,981703002,JLN SELASEH 15 - JLN SELASEH 24
15,981703003,JLN SAMUDRA SELATAN
15,981703004,JLN SAMUDRA TIMUR
15,981703005,JLN SAMUDRA UTARA
15,981703006,TAMAN SAMUDRA / KG. BANJAR
15,981703007,TMN DESA BT CAVES
15,981703008,APT CASMARIA TMN SAMUDRA
15,981703009,R/PANGSA TMN SAMUDRA
15,981703010,R/PANGSA FIONA TMN SELASEH
15,981703011,IKS MUKIM BATU
15,981703012,TAMAN SELASEH
15,981703013,JLN SELASEH 15
15,981703014,JLN SELASEH 16
15,981703015,JLN SELASEH 17
15,981703016,JLN SELASEH 18
15,981703017,JLN SELASEH 19
15,981703018,JLN SELASEH 20
15,981703019,JLN SELASEH 24
15,981703020,TAMAN SAMUDRA
15,981703021,JLN SAMUDRA UTARA 1
15,981703022,JLN SAMUDRA UTARA 2
15,981703023,JLN SAMUDRA UTARA 4
15,981703024,JLN SAMUDRA UTARA 5
15,981703025,JLN SAMUDRA UTARA 6
15,981703026,JLN SAMUDRA UTARA 8
15,981703027,JLN SAMUDRA UTARA 9
15,981703028,JLN SAMUDRA UTARA 10
15,981703029,JLN SAMUDRA SELATAN 2
15,981703030,JLN SAMUDRA SELATAN 3
15,981703031,JLN SAMUDRA SELATAN 4
15,981703032,JLN SAMUDRA SELATAN 5
15,981703033,JLN SAMUDRA SELATAN 6
15,981703034,JLN SAMUDRA SELATAN 7
15,981703035,JLN SAMUDRA SELATAN 8
15,981703036,JLN SAMUDRA SELATAN 9
15,981703037,JLN SAMUDRA SELATAN 10
15,981703038,JLN SAMUDRA TIMUR 1
15,981703039,JLN SAMUDRA TIMUR 2
15,981703041,JLN SAMUDRA TIMUR 4
15,981703042,JLN SAMUDRA TIMUR 5
15,981703043,JLN SAMUDRA TIMUR 6
15,981703044,JLN SAMUDRA TIMUR 7
15,981703045,JLN SAMUDRA TIMUR 8
15,981703046,JLN SAMUDRA TIMUR 9
15,981703048,BLOK A TMN SAMUDRA
15,981703049,BLOK 3 A TMN SAMUDRA
15,981703053,TMN RAINTREE
15,981703701,BALAI POLIS BT CAVES
15,981703801,PEMILIH TAK HADIR
16,981704001,TAMAN GREENWOOD
16,981704002,JLN 1-14 TMN GREENWOOD
16,981704003,TMN BERLIAN
16,981704004,TMN DESA MINANG
16,981704005,TMN BATU
16,981704006,APPT IDAMAN PURI JLN SETIA
16,981704007,JLN 1
16,981704008,JLN 2
16,981704009,JLN 3
16,981704010,JLN 4
16,981704011,JLN 5
16,981704012,JLN 6
16,981704013,JLN 7
16,981704014,JLN 8
16,981704015,JLN 9
16,981704016,JLN 10
16,981704017,JLN 11
16,981704018,JLN 12
16,981704019,JLN 13
16,981704020,JLN 14
16,981704021,JLN SEPAKAT TMN BERLIAN
16,981704022,LRG 5 TMN DESA MINANG
16,981704023,LRG 6 TMN DESA MINANG
16,981704024,LRG 7 TMN DESA MINANG
16,981704025,LRG 8 TMN DESA MINANG
16,981704801,PEMILIH TAK HADIR
17,981705001,SIMPANG TIGA GOMBAK
17,981705002,KG CANGKAT
17,981705003,LRG DEWAN
17,981705004,JLN SEPAKAT
17,981705005,JLN BKT LELA
17,981705006,JLN HJ IDRIS
17,981705008,JLN KUNCI AIR
17,981705009,TMN SAHABAT
17,981705010,JLN SEPAKAT 2
17,981705011,LRG SEPAKAT 2
17,981705013,LRG SEPAKAT 3
17,981705014,JLN SEPAKAT 4
17,981705015,JLN SEPAKAT 5
17,981705016,LRG SEPAKAT 5
17,981705017,TMN MUTIARA GOMBAK
17,981705801,PEMILIH TAK HADIR
18,981706001,JALAN GOMBAK BATU 7
18,981706002,JALAN GOMBAK BATU 8
18,981706003,KG SUNGAI CHIN CHIN
18,981706004,TMN RAWIYAH SULAIMAN JAYA
18,981706005,DESA BESTARI
18,981706006,DESA MOKMIN PERMAI
19,981707001,JALAN GOMBAK BATU 6
19,981707002,KG KARDAS
19,981707003,KG TENGAH
19,981707004,JLN KERDAS 1 - 6
19,981707005,JLN HARMONIS 1 - 9
19,981707006,TMN SENTOSA
19,981707007,TMN SERI MELATI
19,981707008,TMN BKT SENTOSA
19,981707009,JLN KERDAS 1
19,981707010,JLN KERDAS 2
19,981707011,JLN KERDAS 3
19,981707012,JLN KERDAS 4
19,981707013,JLN KERDAS 5
19,981707014,JLN KERDAS 6
19,981707016,LRG KERDAS KIRI 2
19,981707017,TAMAN HARMONIS
19,981707019,JLN HARMONIS 2
19,981707020,JLN HARMONIS 3
19,981707021,JLN HARMONIS 4
19,981707023,JLN HARMONIS 6
19,981707024,JLN HARMONIS 9
19,981707025,KG TENGAH TAMBAHAN
19,981707801,PEMILIH TAK HADIR
20,981708001,GOMBAK SETIA
20,981708002,KRTS KERAJAAN
20,981708003,JLN SERI SETIA
20,981708004,JLN MUTIARA
20,981708005,JLN SEKOLAH
20,981708006,JLN DEWAN
20,981708007,JLN MADARSAH
20,981708008,JLN PASAR
20,981708009,JLN INTAN
20,981708010,JLN RUBI
20,981708011,JLN ZAMRUD
20,981708012,JLN DELIMA
20,981708013,TMN SETIA
20,981708014,TAMAN PERWIRA
20,981708015,TMN KENANGAN
20,981708016,TMN CEMERLANG
20,981708017,TMN PERWIRA INDAH
20,981708018,MINANG INDAH VILLA
20,981708019,KRTS POLIS
20,981708028,TMN MUTIARA
20,981708701,BALAI POLIS GOMBAK
20,981708801,PEMILIH TAK HADIR
21,981709001,TMN INDUSTRI BOLTON
21,981709002,KG SRI GOMBAK INDAH
21,981709003,JLN SG 1/1 - 10
21,981709004,JLN SG 1/11  - 20
21,981709005,JLN TIB 2
21,981709006,JLN TIB 3
21,981709007,P/PURI SRI LAMAN
21,981709008,TAMAN SUNWAY
21,981709009,JLN S/G 1/1
21,981709015,JLN S/G 1/8
21,981709016,JLN S/G 1/9
21,981709018,JLN S/G 1/11
21,981709019,JLN S/G 1/12
